Name,Time,X,Y,Z,Value
Waypoint 1,Tue Jun 17 08:54:51 2025,-0.149916008,-0.026917361,-0.433733255,Placeholder
Waypoint 2,Tue Jun 17 08:54:53 2025,-0.239997665,-0.039712095,-0.430357682,Placeholder
Waypoint 3,Tue Jun 17 08:54:54 2025,-0.697693944,0.333007783,-0.424911618,Placeholder
Waypoint 4,Tue Jun 17 08:54:55 2025,-0.752984874,0.777606055,-0.400043476,Placeholder
Waypoint 5,Tue Jun 17 08:54:55 2025,-0.540639923,1.275472607,-0.423226465,Placeholder
Waypoint 6,Tue Jun 17 08:54:56 2025,0.259846766,1.402627606,-0.318274418,Placeholder
Waypoint 7,Tue Jun 17 08:54:57 2025,0.428953303,1.263458766,-0.381090295,Placeholder
Waypoint 8,Tue Jun 17 08:55:00 2025,-1.547632162,0.362065632,-0.396326855,Placeholder
Waypoint 9,Tue Jun 17 08:55:02 2025,-3.52613682,0.756329576,-0.330911713,Placeholder
Waypoint 10,Tue Jun 17 08:55:03 2025,-3.131499194,2.666260125,-0.140120989,Placeholder
Waypoint 11,Tue Jun 17 08:55:03 2025,-1.966396709,4.061234761,-0.027848603,Placeholder
Waypoint 12,Tue Jun 17 08:55:04 2025,-0.296883621,4.672499294,0.003840209,Placeholder
Waypoint 13,Tue Jun 17 08:55:06 2025,0.977495635,4.598769021,0.095725235,Placeholder
Waypoint 14,Tue Jun 17 08:55:06 2025,2.5815411,3.615628726,0.047833184,Placeholder
Waypoint 15,Tue Jun 17 08:55:07 2025,3.451205211,1.759808872,-0.06172437,Placeholder
Waypoint 16,Tue Jun 17 08:55:08 2025,2.822288787,0.063362122,-0.176616105,Placeholder
Waypoint 17,Tue Jun 17 08:55:11 2025,0.736943794,0.302917903,-0.166618469,Placeholder
